model,epochs,tag,batch,avg_mem,avg_power,avg_step_time,energy_per_img,gpu_util_early_late,gpu_util_max,gpu_util_mean,gpu_util_p95,gpu_util_slope,gpu_util_std,is65W,map50,mem_clock_early_late,mem_clock_max,mem_clock_mean,mem_clock_p95,mem_clock_slope,mem_clock_std,mem_util_early_late,mem_util_max,mem_util_mean,mem_util_p95,mem_util_slope,mem_util_std,power_early_late,power_limit_w,power_peak_to_mean,power_range,power_slope,pwr_max,pwr_mean,pwr_min,pwr_p95,pwr_std,sm_clock_early_late,sm_clock_max,sm_clock_mean,sm_clock_p95,sm_clock_slope,sm_clock_std,step_time_cv,step_time_mean,step_time_p95,step_time_slope,step_time_std,temp_early_late,temp_max,temp_mean,temp_p95,temp_slope,temp_std,thr_mean,thr_p95,thr_std,throughput,throughput_var_ratio,vram_total_mb,n_logs,delta_map,true_score,rel,pred_score,rank_pred
yolo11m.pt,10,115W,16,4861.238061523438,38.34197916461165,0.2005820418747589,0.4804960921881109,46.888564576277886,91.5,32.15332632984145,89.0,0.0591912309642183,37.83760288500072,0.0,0.83499,0.0,8200.0,8190.7849829351535,8200.0,0.0014490887598302,73.78410194210159,35.28765796513237,72.5,24.06654303695082,70.5,0.044529068115747,29.66119936987701,33.142314777234574,115.0,2.1819171159247635,68.316,0.0431808462585569,83.4635,38.34197916461166,15.1475,75.72,23.039311193348595,593.8774098330412,2647.5,2379.711426542248,2647.5,0.7595775855651334,311.29530757234795,0.1298548106156491,0.2005820418747589,0.2319322200000896,-0.0004773897720304,0.0261481360371842,9.467089224768408,83.0,72.22678161599822,82.0,0.0124230652829393,5.786853019557322,80.83939144599344,90.1095353090628,8.285154056700682,79.78162972700214,0.0106842337557979,8188.0,2,0.0,-230.63000790745477,1,-0.5888327956199646,3
yolo11m.pt,10,115W,32,7965.669173177083,36.41212031510875,0.8291838699998758,0.9082034465052624,50.15698871706349,99.66666666666669,44.15189337780732,95.66666666666669,0.0473595239219893,40.56391916018051,0.0,0.8306299999999999,0.0,8200.0,8200.0,8200.0,-3.033188620376278e-15,0.0,24.577685066346323,86.66666666666667,22.756878786086777,78.0,0.0274823048061003,28.43560879469817,21.528075325379834,115.19333333333334,2.57600435290732,78.23366666666665,0.0256576352584655,93.42666666666666,36.4121203151088,15.193,72.711,20.322170445449064,531.5603814284968,2655.0,2436.876778650367,2655.0,0.5490828497557815,292.71488926973814,0.3403063484101364,0.8291838699998758,1.2834354216663388,0.0138045981863745,0.3649391507220856,6.216553009379287,81.0,70.21848579542595,79.0,0.007802050911802,4.967630300852181,60.82508936803563,81.36939810534692,16.089580554166393,54.16715443100279,0.2051316573007829,8188.0,3,0.0043600000000001415,-392.957384424086,0,-1.7729089260101318,4
yolo11m.pt,10,65W,1,1748.5516616821292,25.28276093028412,0.074832798632832,1.8917193841633209,17.36039855072464,45.0,29.549317177239736,40.0,0.0071863203964977,14.165933878016585,1.0,0.68352,466.0253623188405,8000.0,7843.568951832129,8000.0,0.1936728565114783,363.2474372082996,3.4779637681159423,14.0,7.126157211885795,11.5,0.0015008491999535,3.630670800205112,4.430271519927535,46.707,1.6500125767216405,28.164,0.0019495066880444,41.7275,25.28276093028413,13.5635,32.9486,5.518312454257679,-59.79111413043472,2497.5,2087.1348062247503,2347.5,-0.0222164392733232,111.69946927916678,0.1560381445824701,0.074832798632832,0.0928146174995162,2.51821735384668e-06,0.0116491934391791,3.7165561594202856,78.0,73.01393938296741,74.5,0.0016145227045536,1.9293530692422485,13.572329224158338,15.469146899845052,1.4972835292053803,13.36554304353442,0.012172417848191,8188.0,2,0.15147,-91.01789545013136,3,1.8490123748779297,1
yolo11m.pt,10,65W,8,3529.5033569335938,29.35372483628423,0.1353449993750473,0.4966139170307191,48.91278183514208,89.0,38.04753820033956,85.0,0.0559313104839176,36.13012897923885,1.0,0.81302,649.5006029167516,8000.0,7573.517126148705,8000.0,0.7512976371501039,494.53522925249314,26.42457283916911,52.5,20.29493761284933,47.5,0.0298447918772969,19.7950191870093,19.737684737105543,52.943,2.46974806842748,58.4575,0.0219704418355996,72.562,29.353724836284265,14.1045,45.67777499999998,12.630431994259569,36.80098628079986,2490.0,1970.497513946156,2490.0,0.0191602567953166,303.6572915120723,0.1675673747937969,0.1353449993750473,0.1677374174999385,-0.0001305755175509,0.0226862149704313,5.170483243464609,82.5,74.3077788557415,78.5,0.0060037442451499,2.787113452350923,60.23112843461688,69.12977364245884,7.149123890552036,59.10828762105437,0.0141319356869793,8188.0,2,0.021970000000000045,-167.55099601124866,2,0.4468570947647095,2
yolo11m.pt,10,65W,16,4796.8078125,29.30415939393938,0.2483413406250064,0.4548191103528761,48.00386363636363,93.5,37.67785714285715,91.0,0.0597926781265228,38.50980398038975,1.0,0.83499,681.0164141414134,8000.0,7557.142857142857,8000.0,0.859691746155409,496.1025540915493,30.648876262626267,65.5,24.101688311688317,59.5,0.0376829121910891,25.40134786556667,19.810785845959597,52.643,2.833594578518765,69.16550000000001,0.0246807437764425,83.02850000000001,29.304159393939397,13.863,50.7485,14.475924677582777,22.267518939393995,2497.5,1967.0409090909088,2490.0,0.0044147926886852,324.92741245931245,0.1160909213146846,0.2483413406250064,0.2776114899990716,-0.0004212788484536,0.0288947873342861,4.704981060606059,80.5,74.29474025974025,78.5,0.0057760586423142,2.6955973503627133,65.14729742555954,73.17268452012578,6.263719694300253,64.43206240887253,0.0093482682693416,8188.0,2,0.0,-229.3020197205201,1,-0.8768675327301025,3
yolo11m.pt,10,65W,32,7972.83310546875,29.16056624794779,0.9904943412499962,0.9146064283789817,53.777043027395145,100.0,49.16774108419197,100.0,0.050381668407321,42.8200223798725,1.0,0.83063,685.9425785482117,8000.0,7650.505294654302,8000.0,0.6362986087702885,468.023597540488,21.88777279058969,77.0,20.43455702107972,67.5,0.0259674612008718,25.275797320046443,16.591932746478882,50.879,2.856982464611342,69.625,0.0165634673757396,83.601,29.160566247947774,13.976,49.92175,12.946461907184505,129.5859193623278,2497.5,2079.3035017230723,2490.0,0.0778380407345153,328.02450100957134,0.3394560945047589,0.9904943412499962,1.5829003649997502,0.0065694895544143,0.4575171437724815,3.947357220244541,79.0,74.13473784357117,78.0,0.0038804013592572,2.3331431431711023,49.19200074417738,66.03806454107077,12.695279593736224,42.98539104518446,0.1994344027261967,8188.0,2,0.0043600000000000305,-394.49464383426647,0,-1.7019786834716797,4
yolo11n.pt,1,115W,1,1125.4124348958333,15.785196714480662,0.0597711932291797,0.9432056948087442,12.35843502507345,33.666666666666664,10.87209146906626,32.666666666666664,0.0403387102814274,13.884352963786776,0.0,0.4819,0.0,8200.0,8200.0,8200.0,-2.05987318485274e-15,0.0,0.9761610022727866,4.0,1.376521377781882,4.0,0.0036119928872748,1.330723572176613,2.0571997877519306,116.92266666666669,1.19775313665377,4.862,0.0064012680221749,18.906,15.785196714480662,14.044,18.84433333333333,1.939854093894556,0.0,2010.0,2010.0,2010.0,2.1984614411570395e-16,0.0,0.5814886012404307,0.0597711932291797,0.0778117983329934,-0.0002213196569961,0.03513334266439,2.0156126591978207,58.333333333333336,56.5902272019919,58.0,0.0048529998171682,0.9531892478560716,17.893405252606062,20.35281680800557,2.626301216415823,16.753421971132877,0.0218470835971762,8188.0,3,0.11175999999999997,-55.991330167796,5,1.680059790611267,1
yolo11n.pt,1,115W,4,1362.91015625,16.054798245614013,0.0764250156249843,0.3067470516942557,10.833333333333334,40.0,5.868421052631579,39.0,0.0377568648097267,12.306939390280917,0.0,0.58282,0.0,8200.0,8200.0,8200.0,-2.9423610161625043e-14,0.0,1.956140350877193,9.0,1.99561403508772,8.0,0.0067723592772539,2.285533848762276,1.775517543859646,117.343,1.421444209442769,8.291000000000002,0.0079433667909885,22.821,16.054798245614037,14.53,22.52375,2.438991775375185,7.894736842105203,2040.0,2012.565789473684,2040.0,0.0184350372649304,8.389899200065376,0.6958097306727322,0.0764250156249843,0.1009194849998948,-0.0020992059567436,0.0531772695386797,1.1666666666666643,60.0,58.8859649122807,60.0,0.0031709048753848,0.6353445249905901,60.3032607456845,76.26256189827217,14.34221108067332,52.33888364024548,0.0565653693885017,8188.0,1,0.01083999999999996,-57.26136619411056,3,0.7693923711776733,2
yolo11n.pt,1,115W,2,1220.8193359375,16.16443813387424,0.0656503031250181,0.5306001316672235,9.284552845528454,34.0,7.626774847870182,34.0,0.0360642958163574,12.839256372658667,0.0,0.55542,0.0,8200.0,8200.0,8200.0,1.0943093241726861e-16,0.0,0.845528455284553,5.0,1.843813387423935,5.0,0.003766566231577,1.5159554594491749,1.6705447154471518,115.717,1.291476995804277,6.3050000000000015,0.0071167569434109,20.876,16.16443813387424,14.571,20.5358,2.135086842324192,0.0,2010.0,2010.0,2010.0,1.205094451278682e-15,0.0,0.6141900493543806,0.0656503031250181,0.0852299800001219,-0.0007035013232608,0.0403217629164849,0.3658536585365795,60.0,58.49290060851927,60.0,0.0016353166709763,0.6698750331972745,33.61492368171883,41.318623244991535,6.802501815002222,30.46444425688928,0.040951807349767,8188.0,1,0.03823999999999994,-56.75478895997049,4,0.5837498903274536,3
yolo11n.pt,1,115W,8,1572.5481770833333,16.488244539245787,0.0937304750001288,0.1930571496025417,9.601735049269454,44.66666666666666,5.368465103920642,29.0,0.03738601312311,11.748175446635427,0.0,0.59235,0.0,8200.0,8163.34435521965,8200.0,-0.1875462841379053,167.27459101444893,2.937347802695662,15.333333333333334,2.01219993242534,10.333333333333334,0.0115082538329225,3.908186942563012,4.12686383296523,118.56866666666669,2.024226502717632,19.032,0.0147764809996422,33.366,16.488244539245787,14.334,29.70249999999999,4.556891817944635,148.2694104655114,2665.0,2076.418657002834,2665.0,0.490330385120139,192.36423503832407,0.5377173050407311,0.0937304750001288,0.1526789916665809,-0.0061369220587724,0.0527725208149594,1.5273955147808376,62.0,57.95534299060515,61.0,0.005573430318312,1.2924132467632272,98.49319029546432,137.6429195155591,24.753466302876,86.17917941556841,0.066681639369036,8188.0,3,0.0013099999999999223,-57.72025939126989,2,0.10482960939407349,4
yolo11n.pt,1,115W,16,2074.83984375,16.59150392191628,0.132985933333136,0.1378112311431921,6.087295746167686,42.0,3.511467034410297,13.666666666666666,0.0228479962474017,9.28961654720039,0.0,0.59366,-70.37037037037044,8200.0,8152.960181708618,8200.0,-0.3816686661629793,226.519117331316,2.239952718676123,22.0,1.7531803257157863,6.333333333333333,0.0095809484132072,4.813863788816101,4.3363439208310375,117.35333333333334,2.240088958476338,23.146,0.0155849834495344,37.17033333333333,16.591503921916285,14.024333333333333,30.964316666666654,5.0471326986581335,169.27130261534117,2660.0,2080.187037037037,2655.0,0.5385972078411834,200.38649086533405,0.495896254221395,0.132985933333136,0.2493326899991718,-0.0217779293649399,0.06990003651932,1.0405546386745357,64.33333333333333,58.48050348429364,62.0,0.0042948502522881,1.3635876333010994,142.55821862971916,180.97905180421057,39.3605916462613,122.679662409818,0.0837755513721055,8188.0,3,0.0,-71.91554464112949,1,-0.9429831504821777,5
yolo11n.pt,1,115W,32,3046.79296875,16.91843449240186,0.198123175001001,0.1044701196796252,9.788360067539044,62.0,5.459608484592655,38.42499999999944,0.0371943732406822,13.979613322332597,0.0,0.58293,0.0,8200.0,8185.436893203883,8200.0,-0.0905995580182794,92.3351503930914,5.190797804981006,43.5,2.874168953144787,22.2999999999995,0.0215823354994299,9.590631070663516,5.410170694385815,117.802,2.550426290369628,28.8675,0.0201951800470886,43.164,16.918434492401857,14.296500000000002,32.52104999999996,5.880191268082758,244.53909877585463,2655.0,2095.613259814268,2655.0,0.7666750265829291,208.22724620752436,0.2636776166878336,0.198123175001001,0.2799716975010596,-0.041058559999692,0.0589597686178949,0.9081363444491366,66.5,58.52238550021106,61.62499999999994,0.0045495668725641,1.603894109140314,178.0986863168859,202.069895445736,29.97785384065303,165.41713349606013,0.050208525768516,8188.0,2,0.010730000000000017,-107.79111173640254,0,-1.71968674659729,6
yolo11n.pt,1,65W,1,1084.6393229166667,15.31403938370972,0.0627679710936999,0.9609843436002844,12.276859164415514,30.33333333333333,9.965522481726827,29.33333333333333,0.0363542910956042,12.37304886505425,1.0,0.4819,546.770232008429,8000.0,7415.972345891812,8000.0,1.4497403295679707,491.9967013538671,0.5302847291536893,3.333333333333333,1.6253264083248629,3.333333333333333,0.0020192565349471,0.9104167038108132,3.424505773070411,53.543,1.4179979824318387,9.369666666666667,0.0096267719539428,21.706666666666667,15.31403938370975,12.336999999999998,19.688666666666663,3.1130151408283933,0.0,2010.0,2010.0,2010.0,-5.87778109901857e-16,0.0,0.3689640442079029,0.0627679710936999,0.0852238200000859,-0.0001696241692035,0.0233990645783601,2.52491445969338,60.66666666666666,58.52935136389135,60.333333333333336,0.0059094042059432,1.2532831957345982,16.727469348884657,19.307835781912853,2.5659848264175307,15.961739432164524,0.0238051778707826,8188.0,3,0.11175999999999997,-54.0488321312969,5,1.8490123748779297,1
yolo11n.pt,1,65W,2,1230.1328125,14.90395963302752,0.0718224531249944,0.5352194710599644,14.0,34.0,7.620183486238532,34.0,0.0422194777699364,12.435402110684086,1.0,0.55542,522.0588235294117,8000.0,7352.293577981652,8000.0,1.51106314085268,477.6848468337022,1.3014705882352944,5.0,1.882568807339449,5.0,0.0043267377522639,1.470495394070021,2.699536764705881,54.382,1.9545141504172647,16.908,0.0096791264388606,29.13,14.903959633027524,12.222,21.242,3.377414752348264,0.0,2010.0,2010.0,2010.0,3.232997192046143e-15,0.0,0.6221682227600999,0.0718224531249944,0.0937725899997985,-0.0007446509065921,0.0446856480150483,1.580882352941174,59.0,56.78532110091743,59.0,0.0043724758781423,1.0243660548482625,30.73527404133951,37.553322711344,6.095999971568652,27.846445129343444,0.0393383131486416,8188.0,1,0.03823999999999994,-57.62771897610523,3,0.8862736821174622,2
yolo11n.pt,1,65W,4,1357.05859375,14.700456211812622,0.0800569656250189,0.2942184794052949,11.51639344262295,36.0,5.270875763747454,34.0,0.0367644986562505,11.014614761166523,1.0,0.58282,450.8196721311479,8000.0,7270.875763747455,8000.0,1.3431412006459873,444.412065949708,1.762295081967213,8.0,1.894093686354379,8.0,0.0060550334087238,2.0285602690464044,2.7050409836065565,51.443,1.6829409675136506,12.330999999999998,0.0099831997356093,24.74,14.700456211812629,12.409,23.314,3.4991683369804583,0.0,2010.0,2010.0,2010.0,3.234655252449604e-15,0.0,0.6903563949984745,0.0800569656250189,0.1013572100000601,-0.0022481312500013,0.0552678381834048,1.2950819672131146,60.0,57.5132382892057,59.0,0.0038578940592183,0.8305078454197733,57.2053878962459,71.50546475530669,12.982726241102108,49.96442181852996,0.0515060125558237,8188.0,1,0.01083999999999996,-57.27482400548481,4,0.23097071051597595,3
yolo11n.pt,1,65W,8,1531.0528157552085,15.362732111422568,0.1048061541666621,0.2009222048903126,10.122165571938206,39.66666666666666,5.155926740358489,29.666666666666668,0.0339728328383638,10.357226593592378,1.0,0.59235,322.4511199914259,8000.0,7231.060542624905,8000.0,1.02309191259939,421.1300223537824,2.366546476199225,13.0,2.045119023794118,9.666666666666666,0.0086484951028151,3.099276646488944,3.973432693338232,46.30233333333333,2.4678749638173123,25.44033333333333,0.0142301137261731,37.90466666666666,15.36273211142256,12.464333333333334,27.741599999999995,4.9209012171014175,90.91067245418223,2415.0,2045.225971395,2415.0,0.2413182165523533,109.8468706719757,0.5134889796681742,0.1048061541666621,0.1772338083331229,-0.0060541906862712,0.0559573096189525,1.6047647482124534,64.66666666666667,60.93569211011292,63.333333333333336,0.004738040170443,1.1471014545455616,87.5563102921683,120.97654030399792,22.2418907958879,77.06039207401881,0.0666799350649269,8188.0,3,0.0013099999999999223,-58.04347379898156,2,0.12044264376163483,4
yolo11n.pt,1,65W,16,2037.7591145833333,15.448835829472488,0.1464052333335151,0.1411710163489219,7.619797475513348,44.0,4.224900462263192,26.666666666666668,0.0275017115295174,10.400019046275627,1.0,0.59366,379.5016797236552,8000.0,7221.101053680645,8000.0,1.148600221413096,413.3927781207968,2.687855080751861,21.33333333333333,2.09970199616583,12.0,0.0106915437560241,4.769287175285139,4.464633151922279,51.41233333333333,2.700686547284276,29.130333333333336,0.0158659913803507,41.75533333333333,15.448835829472486,12.625,30.944333333333333,5.855590531488993,118.02696840710148,2505.0,2050.4408438265414,2505.0,0.2844015960308153,132.54579299123338,0.4510624374825791,0.1464052333335151,0.2603827266671941,-0.0212273412699102,0.0690543423772874,1.155403912895591,66.33333333333333,61.75055034423686,64.33333333333333,0.0034899164048812,1.1619788745409965,125.7857288267906,158.98868119068916,31.53418951090165,110.22190032308912,0.0710150065092964,8188.0,3,0.0,-73.45603638108167,1,-0.8435351848602295,5
yolo11n.pt,1,65W,32,2990.390625,15.688061125319695,0.2216752374997668,0.1087445407847633,14.766027280477408,63.0,5.841730605285592,43.5,0.0468227585683936,15.5494713505426,1.0,0.58293,317.26342710997505,8000.0,7207.129156010231,8000.0,0.9359509487553596,404.2256765468872,7.570929241261723,39.5,3.305381500426257,20.0,0.0250388071903397,8.985397839504763,4.542565430520034,51.867,2.773517638533369,30.703000000000003,0.015961590928904,43.527,15.688061125319692,12.824,32.3128,5.955438440806114,171.89514066496167,2437.5,2056.9789002557545,2407.5,0.3917356419256359,124.31686233220196,0.2237348552965867,0.2216752374997668,0.2994760849990597,-0.0377702649999263,0.0563491991311175,1.3075873827791966,67.5,63.5174126172208,66.0,0.0037021050472762,0.9846878702810486,156.51530528681417,173.1641660297604,22.225894175437976,147.54711175455785,0.0420200126183065,8188.0,2,0.010730000000000017,-109.96288906122855,0,-1.6229169368743896,6
